winery,wine,year,rating,num_reviews,country,region,type,body,acidity,price_range
Ordonez,Vatan Arena Tinta de Toro,2014,4.8,79,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Toro Albala,Don PX Convento Seleccion,1929,4.8,69,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,[200-3030]
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vina Sastre,Pesus Ribera del Duero,2007,4.8,68,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Teso La Monja,Tinto,2012,4.8,56,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Dominio de Pingus,Pingus,2017,4.8,52,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Teso La Monja,Tinto,2009,4.8,50,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,40,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Sierra Cantabria,Magico,2016,4.8,40,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Teso La Monja,Tinto,2011,4.8,32,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,31,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Teso La Monja,Tinto,2015,4.8,28,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,26,Espana,Bierzo,Red,4.0,3.0,[200-3030]
La Rioja Alta,Gran Reserva 890,1985,4.8,26,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,26,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,,4.7,12421,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Valbuena 5o,2010,4.7,5266,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Valbuena 5o,2014,4.7,4350,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Vega Sicilia,Valbuena 5o,2006,4.7,3929,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Vega Sicilia,Unico,2005,4.7,3437,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,2004,4.7,3164,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,2000,4.7,3127,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,2007,4.7,2935,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Valbuena 5o,2015,4.7,2826,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Vega Sicilia,Unico,2006,4.7,2765,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,2008,4.7,2480,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,2003,4.7,2419,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Valbuena 5o,2016,4.7,2177,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Vega Sicilia,Valbuena 5o,2005,4.7,1892,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,2002,4.7,1199,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1991,4.7,1141,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1994,4.7,940,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,935,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1990,4.7,690,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,685,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Vega Sicilia,Unico,1989,4.7,675,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1987,4.7,593,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,560,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Pago de Carraovejas,El Anejon,2015,4.7,543,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Bodegas El Nido,El Nido,2014,4.7,511,Espana,Jumilla,Red,4.0,3.0,[150-200]
Bodegas El Nido,El Nido,2013,4.7,476,Espana,Jumilla,Red,4.0,3.0,[100-150]
Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,425,Espana,Rioja,Rioja White,3.0,3.0,[200-3030]
Bodegas El Nido,El Nido,2016,4.7,393,Espana,Jumilla,Red,4.0,3.0,[200-3030]
Bodegas El Nido,El Nido,2008,4.7,347,Espana,Jumilla,Red,4.0,3.0,[100-150]
Vinedos de Paganos,La Nieta,2015,4.7,312,Espana,Rioja,Rioja Red,4.0,3.0,[50-100]
Vega Sicilia,Unico,1981,4.7,308,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,303,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Emilio Moro,Malleolus de Valderramiro,2016,4.7,300,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Dominio de Pingus,Pingus,2001,4.7,295,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1986,4.7,292,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Emilio Moro,Malleolus de Sanchomartin,2016,4.7,291,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Dominio de Pingus,Pingus,2004,4.7,285,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Dominio de Pingus,Pingus,2006,4.7,280,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodegas El Nido,El Nido,2017,4.7,268,Espana,Jumilla,Red,4.0,3.0,[150-200]
Teso La Monja,Alabaster,2016,4.7,264,Espana,Toro,Toro Red,5.0,3.0,[100-150]
Quinta de la Quietud,La Mula de la Quietud,2015,4.7,256,Espana,Toro,Toro Red,5.0,3.0,[50-100]
Vega Sicilia,Unico,1985,4.7,254,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,251,Espana,Castilla y Leon,Tempranillo,4.0,2.0,[50-100]
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,243,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,240,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Vega Sicilia,Unico,1968,4.7,225,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vinedos de Paganos,La Nieta,2018,4.7,220,Espana,Rioja,Rioja Red,4.0,3.0,[50-100]
Vega Sicilia,Unico,1964,4.7,214,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1982,4.7,205,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Dominio de Pingus,Pingus,2015,4.7,203,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,196,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Dominio de Pingus,Pingus,1999,4.7,184,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1974,4.7,173,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,171,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,137,Espana,Toro,Toro Red,5.0,3.0,[50-100]
Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,136,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,134,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Vega Sicilia,Valbuena 5o,2017,4.7,133,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,132,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Bodega Numanthia,Termanthia,2005,4.7,131,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,131,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Emilio Moro,Clon De La Familia,2010,4.7,127,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Alto Moncayo,Aquilon Garnacha,2011,4.7,123,Espana,Campo de Borja,Grenache,5.0,3.0,[100-150]
Vega Sicilia,Unico,1983,4.7,118,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Toro Albala,Don PX Convento Seleccion,1955,4.7,117,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,[150-200]
Vega Sicilia,Unico,1980,4.7,116,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,112,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Vega Sicilia,Unico,1972,4.7,110,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodega Numanthia,Termanthia,2004,4.7,108,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Teso La Monja,Tinto,2010,4.7,102,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Alvaro Palacios,Quinon de Valmira,2015,4.7,102,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,100,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,94,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Finca Moncloa,Tintilla de Rota,2016,4.7,92,Espana,Cadiz,,,,[40-50]
Vega Sicilia,Unico,1953,4.7,89,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodegas Roda,Cirsion Rioja,2000,4.7,87,Espana,Rioja,Rioja Red,4.0,3.0,[150-200]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,82,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Bodegas El Nido,El Nido,2019,4.7,80,Espana,Jumilla,Red,4.0,3.0,[100-150]
Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,74,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,72,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,67,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Martinet,Cami Pesseroles,2006,4.7,65,Espana,Priorato,Priorat Red,4.0,3.0,[150-200]
Recaredo,Turo d'en Mota,2007,4.7,64,Espana,Cava,Cava,2.0,3.0,[50-100]
Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,63,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Clos Erasmus,Priorat,2007,4.7,60,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,59,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Barbadillo,Reliquia Palo Cortado Sherry,N.V.,4.7,58,Espana,Jerez Palo Cortado,Sherry,4.0,3.0,[200-3030]
La Rioja Alta,Gran Reserva 890,1982,4.7,57,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,53,Espana,Jerez Palo Cortado,Sherry,4.0,3.0,[200-3030]
Clos Erasmus,Daphne Glorian Red,2007,4.7,51,Espana,Priorato,Red,4.0,3.0,[200-3030]
Toro Albala,Don PX Pedro Ximenez,1955,4.7,50,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,[200-3030]
Vinedos de Paganos,La Nieta,2019,4.7,49,Espana,Rioja,Rioja Red,4.0,3.0,[50-100]
Bodegas Amaren,El Regollar,2016,4.7,49,Espana,Rioja,Rioja Red,4.0,3.0,[50-100]
Toro Albala,Don PX Convento Seleccion,1958,4.7,47,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,[150-200]
Teso La Monja,Alabaster,2018,4.7,45,Espana,Toro,Toro Red,5.0,3.0,[100-150]
Alvear,Abuelo Diego Palo Cortado,N.V.,4.7,42,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,[100-150]
Equipo Navazos,La Bota 78 de Oloroso,N.V.,4.7,41,Espana,Manzanilla,Sherry,4.0,3.0,[50-100]
Morca,Touran,2018,4.7,41,Espana,Campo de Borja,Grenache,5.0,3.0,[50-100]
Territorio Luthier,Luthier Gran Reserva,2012,4.7,40,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Artadi,Vina El Pison,1995,4.7,39,Espana,Vino de Espana,Tempranillo,4.0,2.0,[200-3030]
Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,37,Espana,Valdeorras,,,,[150-200]
Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,35,Espana,Cava,Cava,2.0,3.0,[50-100]
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,33,Espana,Castilla y Leon,Tempranillo,4.0,2.0,[50-100]
Vina Sastre,Pesus Ribera del Duero,2004,4.7,32,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Terra Remota,Usted,2010,4.7,31,Espana,Emporda,Red,4.0,3.0,[200-3030]
Dehesa de Los Canonigos,Gran Reserva,2001,4.7,31,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,30,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Miguel Merino,La Loma,2018,4.7,29,Espana,Rioja Alta,Rioja Red,4.0,3.0,[40-50]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,28,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,27,Espana,Alicante,,,,[50-100]
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,27,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Vega Sicilia,Valbuena 5o,2011,4.6,6803,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Valbuena 5o,2012,4.6,5938,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Vega Sicilia,Valbuena 5o,2008,4.6,5545,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Vega Sicilia,Valbuena 5o,2007,4.6,5116,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Vega Sicilia,Valbuena 5o,2013,4.6,4747,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Vega Sicilia,Valbuena 5o,2009,4.6,4685,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Alion,Ribera del Duero,2016,4.6,4516,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Alion,Ribera del Duero,2017,4.6,2208,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Vega Sicilia,Valbuena 5o,2004,4.6,1608,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Dominio de Pingus,Flor de Pingus,2018,4.6,1363,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Vega Sicilia,Valbuena 5o,2000,4.6,1015,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Valbuena 5o,2002,4.6,936,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodega Numanthia,Termanthia,2012,4.6,840,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Bodega Numanthia,Termanthia,2011,4.6,790,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Carmelo Rodero,Pago De Valtarrena,2015,4.6,700,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[40-50]
Emilio Moro,Malleolus de Sanchomartin,2011,4.6,693,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Vega Sicilia,Valbuena 5o,1999,4.6,595,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Emilio Moro,Malleolus de Valderramiro,2015,4.6,516,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Dominio de Pingus,Pingus,2010,4.6,410,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,405,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Dominio de Pingus,Pingus,2012,4.6,400,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Dominio del Bendito,El Titan del Bendito,2015,4.6,388,Espana,Toro,Toro Red,5.0,3.0,[40-50]
Emilio Moro,Malleolus de Sanchomartin,2015,4.6,369,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Dominio de Pingus,Pingus,2013,4.6,323,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,4.6,313,Espana,Castilla y Leon,Tempranillo,4.0,2.0,[50-100]
Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,4.6,304,Espana,Castilla y Leon,Tempranillo,4.0,2.0,[50-100]
Dominio de Pingus,Pingus,2005,4.6,293,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vinedos de Paganos,La Nieta,2017,4.6,286,Espana,Rioja,Rioja Red,4.0,3.0,[100-150]
Artadi,Vina El Pison,2006,4.6,274,Espana,Vino de Espana,Tempranillo,4.0,2.0,[200-3030]
Dominio de Pingus,Pingus,1998,4.6,244,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodegas Roda,Cirsion Rioja,2007,4.6,242,Espana,Rioja,Rioja Red,4.0,3.0,[100-150]
Bodegas Roda,Cirsion Rioja,2012,4.6,231,Espana,Rioja,Rioja Red,4.0,3.0,[150-200]
Bodega Contador (Benjamin Romeo),Contador Rioja,2011,4.6,225,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Marques de Murrieta,Dalmau Rioja,2017,4.6,222,Espana,Rioja,Rioja Red,4.0,3.0,[50-100]
Vega Sicilia,Unico,1965,4.6,218,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Sierra Cantabria,Finca el Bosque,2015,4.6,214,Espana,Rioja,Rioja Red,4.0,3.0,[50-100]
Vina Sastre,Pago de Santa Cruz,2018,4.6,211,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Dominio de Pingus,Pingus,2003,4.6,205,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Mas d'en Gil,Clos Fonta Priorat,2004,4.6,202,Espana,Priorato,Priorat Red,4.0,3.0,[100-150]
Carmelo Rodero,Pago De Valtarrena,2016,4.6,200,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[40-50]
Pago de Los Capellanes,Parcela El Picon Tinto,2014,4.6,197,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Emilio Moro,Malleolus de Sanchomartin,2014,4.6,186,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Vega Sicilia,Valbuena 5o,1992,4.6,176,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Dominio de Pingus,Pingus,2014,4.6,172,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Artadi,Vina El Pison,2010,4.6,169,Espana,Vino de Espana,Tempranillo,4.0,2.0,[200-3030]
Pago de Los Capellanes,Parcela El Picon Tinto,2012,4.6,165,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[50-100]
Artadi,Vina El Pison,2011,4.6,165,Espana,Vino de Espana,Tempranillo,4.0,2.0,[200-3030]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999,4.6,164,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Casa Castillo,Cuvee N Vinas Viejas,2015,4.6,160,Espana,Jumilla,Red,4.0,3.0,[50-100]
Artadi,Vina El Pison,2012,4.6,159,Espana,Vino de Espana,Tempranillo,4.0,2.0,[200-3030]
Vega Sicilia,Unico,1973,4.6,157,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodega Contador (Benjamin Romeo),Contador Rioja,2014,4.6,157,Espana,Rioja,Rioja Red,4.0,3.0,[200-3030]
Bodegas San Roman,Cartago Paraje de Pozo,2014,4.6,153,Espana,Toro,Toro Red,5.0,3.0,[50-100]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1996,4.6,150,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Bodega Numanthia,Termanthia,2014,4.6,147,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
